product_name,protein_value,fat_value,carbohydrate_value,kcal_value
Батончик злаковый Be-Kind Цельные злаки Малина,6.800000191,14,65,423
Батончик злаковый Be-Kind Цельные злаки Мёд,6.5,15,65,431
Батончик злаковый Corny Big с бананом и шоколадом,6.099999905,15.2,65.6,424
Батончик злаковый Corny Big с клюквой,5.900000095,7.4,71.4,377
Батончик злаковый Corny Big с лесными орехами,6.400000095,15.6,63.2,419
Батончик злаковый Corny Big с шоколадом,7,17,62.9,433
Батончик Леовит Худеем за неделю Мюсли Фенхель с зелёным чаем,4.199999809,12.4,59.2,367
Батончик мюсли DiYes Чернослив в шоколаде,4,11,70,390
Батончик мюсли Ego с бананом в шоколаде,5,13.5,68,416
Батончик мюсли Ego с вишней в йогурте,6,14,56,416
Биокефир Агуша 3.2%,2.700000048,3.2,4,56
Батончик мюсли Ego с клубникой в йогурте,4,14.5,67.5,418
Батончик мюсли Ego с лесными ягодами в йогурте,4,13.5,69.5,418
Батончик мюсли Ego с черникой в йогурте,5.5,14,67.5,420
Батончик мюсли Tekmar клубника в йогурте,4.5,16.8,70.7,452
Батончик ореховый Be-Kind Горький шоколад Морская соль,17,37,24,523
Батончик ореховый Be-Kind Миндаль Кокос,11,38,31,532
Батончик ореховый Be-Kind Орехи Мёд и Морская соль,17,41,23,544
Батончик Пульсар с миндалем в шоколадной глазури,6.300000191,13.9,58.8,385
Батончик Турбослим белковый для похудения,16,8,18,220
Батончик Ути-Booty протеиновый Кокосовый рай,33.29999924,7.6,6.2,280
Батончик Ути-Booty протеиновый Колумбийская кола,33.29999924,7.5,6.3,278
Батончик Ути-Booty протеиновый Шоколад-Мята,33.29999924,7.1,5.8,273
Батончик фруктовый Joyfield с абрикосом в шоколаде,9.800000191,0.6,72.3,352
Батончик фруктовый Joyfield с абрикосом и яблоком,3.700000048,0.3,74.8,282
Батончик фруктовый Joyfield с лимонником и папайей,4.099999905,0.3,77,302
Батончик фруктовый Joyfield с полевой клубникой,4.5,0.4,75.4,286
Батончик фруктовый Joyfield с черникой,4.5,0.4,73.3,273
Батончик фруктовый Joyfield с черносливом в шоколаде,7.800000191,1,67.7,340
Батончик фруктовый Joyfield с черносливом и ананасом,3.400000095,0.5,75.1,314
Батончик фруктовый Joyfield с черносливом и яблоком,2.099999905,0.5,70.2,280
Батончик фруктовый Ого! с вишней глазированный,3.5,5,56,280
Батончик фруктовый Ого! с облепихой,3,5,44,200
Батончик фруктовый Ого! с черникой,4,0.7,86,330
Батончик фруктовый Сладкий мир хлеб банановый,6.800000191,9.6,59.9,352
Батончик фруктовый Фрутилад с облепихой,3.5,1,45,210
Баурсак,6.800000191,2.6,45.8,234
Бахарат,10.89999962,3.2,38.3,255
Бедренец камнеломка,0,0,0,0
Бекон,23,45,0,500
Бекон Мираторг Любительский,12,35,0,360
Бекон сырокопченый Дымов Венгерский,10,44,0,436
Белоглазка,17.5,2,0,88
Белорыбица,17.5,2,0,88
Белуга бланшированная,23.29999924,15.6,0,234
Белуга свежая,21,0.7,0,147
Белуга сушеная,69.90000153,5.3,0,327
Белые грибы Hortex,3.700000048,1.7,1.1,34
Белые жареные,4.599999905,11.5,10.7,162
Белые маринованные,3,0.5,2,24
Белые свежие,3.700000048,1.7,1.1,34
Белые сушёные,23.39999962,6.4,31,282
Бельдюга,17.5,2,0,88
Бербере,2,0.1,11,71
Березовый сок,0.100000001,0,5.8,24
